,time,status,model_name,model_type
8,1900-01-01 02:56:00,True,percentage_reversed-predictor,predictor
9,1900-01-01 02:58:00,True,percentage_reversed-predictor,predictor
10,1900-01-01 03:01:00,True,percentage_reversed-predictor,predictor
11,1900-01-01 03:02:00,True,percentage_reversed-predictor,predictor
12,1900-01-01 03:03:00,True,percentage_reversed-predictor,predictor
13,1900-01-01 03:06:00,True,percentage_reversed-predictor,predictor
14,1900-01-01 03:07:00,True,percentage_reversed-predictor,predictor
15,1900-01-01 03:08:00,True,percentage_reversed-predictor,predictor
16,1900-01-01 03:09:00,True,percentage_reversed-predictor,predictor
17,1900-01-01 03:10:00,True,percentage_reversed-predictor,predictor
18,1900-01-01 03:14:00,True,percentage_reversed-predictor,predictor
19,1900-01-01 03:15:00,True,percentage_reversed-predictor,predictor
20,1900-01-01 03:17:00,True,percentage_reversed-predictor,predictor
21,1900-01-01 03:18:00,True,percentage_reversed-predictor,predictor
22,1900-01-01 03:20:00,True,percentage_reversed-predictor,predictor
23,1900-01-01 03:24:00,True,percentage_reversed-predictor,predictor
24,1900-01-01 03:26:00,True,percentage_reversed-predictor,predictor
25,1900-01-01 03:28:00,True,percentage_reversed-predictor,predictor
26,1900-01-01 03:29:00,True,percentage_reversed-predictor,predictor
27,1900-01-01 03:30:00,True,percentage_reversed-predictor,predictor
28,1900-01-01 03:33:00,True,percentage_reversed-predictor,predictor
29,1900-01-01 03:34:00,True,percentage_reversed-predictor,predictor
30,1900-01-01 05:12:00,True,percentage_reversed-predictor,predictor
31,1900-01-01 05:13:00,True,percentage_reversed-predictor,predictor
32,1900-01-01 05:14:00,True,percentage_reversed-predictor,predictor
33,1900-01-01 05:15:00,True,percentage_reversed-predictor,predictor
34,1900-01-01 05:16:00,True,percentage_reversed-predictor,predictor
35,1900-01-01 05:17:00,True,percentage_reversed-predictor,predictor
36,1900-01-01 05:18:00,True,percentage_reversed-predictor,predictor
37,1900-01-01 05:19:00,True,percentage_reversed-predictor,predictor
38,1900-01-01 05:21:00,True,percentage_reversed-predictor,predictor
39,1900-01-01 05:22:00,True,percentage_reversed-predictor,predictor
40,1900-01-01 05:23:00,True,percentage_reversed-predictor,predictor
41,1900-01-01 05:25:00,True,percentage_reversed-predictor,predictor
42,1900-01-01 05:26:00,True,percentage_reversed-predictor,predictor
43,1900-01-01 05:27:00,True,percentage_reversed-predictor,predictor
44,1900-01-01 05:28:00,True,percentage_reversed-predictor,predictor
45,1900-01-01 05:30:00,True,percentage_reversed-predictor,predictor
46,1900-01-01 05:31:00,True,percentage_reversed-predictor,predictor
47,1900-01-01 05:32:00,True,percentage_reversed-predictor,predictor
48,1900-01-01 05:33:00,True,percentage_reversed-predictor,predictor
49,1900-01-01 05:34:00,True,percentage_reversed-predictor,predictor
50,1900-01-01 05:35:00,True,percentage_reversed-predictor,predictor
51,1900-01-01 05:36:00,True,percentage_reversed-predictor,predictor
52,1900-01-01 05:37:00,True,percentage_reversed-predictor,predictor
53,1900-01-01 05:38:00,True,percentage_reversed-predictor,predictor
54,1900-01-01 05:39:00,True,percentage_reversed-predictor,predictor
55,1900-01-01 05:40:00,True,percentage_reversed-predictor,predictor
56,1900-01-01 05:41:00,True,percentage_reversed-predictor,predictor
57,1900-01-01 05:42:00,True,percentage_reversed-predictor,predictor
58,1900-01-01 05:43:00,True,percentage_reversed-predictor,predictor
59,1900-01-01 05:44:00,True,percentage_reversed-predictor,predictor
0,1900-01-01 00:00:00,True,percentage_reversed-rule_based,rule_based
1,1900-01-01 00:01:00,True,percentage_reversed-rule_based,rule_based
